time,precip_mm,snow_depth_cm,min_temp
2021-11-15,12.2,,-0.2
2021-11-22,5.8,,-2.9
2021-11-29,18.0,1.0,-8.1
2021-12-06,22.8,0.8,-5.0
2021-12-13,25.8,0.2,-7.2
2021-12-20,8.799999999999999,0.8,-7.8
2021-12-27,12.4,0.5,-6.6
2022-01-03,4.199999999999999,0.5,-15.1
2022-01-10,1.0,0.1,-18.5
2022-01-17,32.6,1.5,-21.1
2022-01-24,5.2,3.2,-20.0
2022-01-31,0.4,2.1,-21.2
2022-02-07,16.0,2.1,-15.4
2022-02-14,7.0,1.5,-16.6
2022-02-21,45.60000000000001,1.9,-11.3
2022-02-28,14.0,0.6,-13.7
2022-03-07,8.6,0.3,-10.9
2022-03-14,6.2,0.5,-10.4
2022-03-21,16.8,0.5,-1.2
2022-03-28,23.799999999999997,0.1,-11.4
2022-04-04,5.6,0.1,-9.1
2022-04-11,11.6,,0.6
2022-04-18,16.0,0.6,-1.6
2022-04-25,17.6,0.2,1.0
2022-05-02,5.0,,-2.2
2022-05-09,21.6,,3.7
2022-05-16,10.8,,8.2
2022-05-23,6.800000000000001,,5.8
2022-05-30,5.4,,6.2
2022-06-06,14.399999999999999,,7.2
2022-06-13,21.4,,10.5
2022-06-20,0.0,,10.1
2022-06-27,0.4,,12.3
2022-07-04,4.8,,11.0
2022-07-11,7.800000000000001,,13.2
2022-07-18,16.0,,14.9
2022-07-25,18.4,,15.8
2022-08-01,1.0,,13.8
2022-08-08,18.0,,15.3
2022-08-15,0.0,,12.9
2022-08-22,52.0,,16.2
2022-08-29,7.6,,13.0
2022-09-05,3.4,,11.9
2022-09-12,7.2,,14.5
2022-09-19,4.2,,8.6
2022-09-26,25.799999999999997,,5.0
2022-10-03,1.8,,2.8
2022-10-10,0.6000000000000001,,0.8
2022-10-17,19.200000000000003,,3.5
2022-10-24,4.0,,0.3
2022-10-31,12.8,,0.1
2022-11-07,15.600000000000001,,3.1
2022-11-14,9.8,,-2.2
2022-11-21,11.8,0.7,-7.7
2022-11-28,5.2,0.0,-3.1
2022-12-05,24.0,0.1,-4.6
2022-12-12,6.0,0.4,-7.6
2022-12-19,32.6,0.3,-9.1
2022-12-26,21.2,0.2,-14.8
2023-01-02,27.200000000000003,0.1,-7.1
2023-01-09,26.2,,-5.9
2023-01-16,11.0,0.6,-11.0
2023-01-23,11.4,0.2,-3.2
2023-01-30,26.0,1.8,-10.2
2023-02-06,1.2,1.7,-21.8
2023-02-13,30.6,0.6,-4.5
2023-02-20,11.2,0.0,-9.5
2023-02-27,28.7,1.7,-10.2
2023-03-06,26.800000000000004,2.8,-5.4
2023-03-13,12.8,1.5,-5.5
2023-03-20,10.8,1.4,-8.1
2023-03-27,28.3,0.0,-2.1
2023-04-03,30.2,0.0,-7.2
2023-04-10,26.2,,-3.9
2023-04-17,4.0,,2.3
