,ds,y,national_index,week_of_year,is_holiday
472,2023-01-23,91,0.0,4,0
473,2023-01-30,102,700.5,5,0
474,2023-02-06,119,14597.875,6,0
475,2023-02-13,100,8706.75,7,0
476,2023-02-20,91,0.0,8,0
477,2023-02-27,86,370.375,9,0
478,2023-03-06,79,13400.0,10,0
479,2023-03-13,100,7360.125,11,0
480,2023-03-20,91,0.0,12,0
481,2023-03-27,86,0.0,13,0
482,2023-04-03,110,5034.375,14,1
483,2023-04-10,88,13670.625,15,0
484,2023-04-17,141,414.625,16,0
485,2023-04-24,100,0.0,17,0
486,2023-05-01,135,2401.5,18,0
487,2023-05-08,130,17459.625,19,0
488,2023-05-15,151,3913.25,20,0
489,2023-05-22,103,0.0,21,0
490,2023-05-29,178,0.0,22,0
491,2023-06-05,236,14054.0,23,0
492,2023-06-12,223,12898.875,24,0
493,2023-06-19,184,0.0,25,0
494,2023-06-26,247,0.0,26,1
495,2023-07-03,204,7428.0,27,0
496,2023-07-10,218,21083.25,28,0
497,2023-07-17,208,842.125,29,0
498,2023-07-24,245,0.0,30,0
499,2023-07-31,230,1580.25,31,0
500,2023-08-07,179,20386.375,32,0
501,2023-08-14,202,7573.375,33,0
502,2023-08-21,198,0.0,34,0
503,2023-08-28,210,0.0,35,0
504,2023-09-04,184,10341.25,36,1
505,2023-09-11,228,17580.875,37,0
506,2023-09-18,230,0.0,38,0
507,2023-09-25,232,0.0,39,0
508,2023-10-02,215,4866.25,40,0
509,2023-10-09,213,21281.375,41,0
510,2023-10-16,234,2137.125,42,0
511,2023-10-23,224,0.0,43,0
512,2023-10-30,242,427.25,44,0
513,2023-11-06,206,17550.875,45,0
514,2023-11-13,241,9540.0,46,0
515,2023-11-20,202,0.0,47,0
516,2023-11-27,214,0.0,48,0
517,2023-12-04,254,10286.5,49,0
518,2023-12-11,214,16708.875,50,0
519,2023-12-18,238,0.0,51,0
520,2023-12-25,176,0.0,52,1
521,2024-01-01,182,5303.285714285715,1,1
522,2024-01-08,170,20238.125,2,0
523,2024-01-15,169,1743.25,3,0
524,2024-01-22,193,0.0,4,0
525,2024-01-29,196,700.5,5,0
526,2024-02-05,190,14597.875,6,0
527,2024-02-12,178,8706.75,7,0
528,2024-02-19,205,0.0,8,0
529,2024-02-26,189,370.375,9,0
530,2024-03-04,184,13400.0,10,0
531,2024-03-11,192,7360.125,11,0
532,2024-03-18,168,0.0,12,0
533,2024-03-25,239,0.0,13,1
534,2024-04-01,148,5034.375,14,0
535,2024-04-08,205,13670.625,15,0
536,2024-04-15,211,414.625,16,0
537,2024-04-22,190,0.0,17,0
538,2024-04-29,185,2401.5,18,0
539,2024-05-06,230,17459.625,19,0
